FCC,Other ID,RA [deg],DEC [deg],Vr_NED/Maddox [km/s],e_Vr [km/s],Vr_Ref
FCC 9,LSBG F418-059,49.8540417,-32.6494444,1751.0,3.0,Schroder+2001
FCC 10,IC 1913,49.894075,-32.4651139,1443.0,1.0,Springob+2005
FCC 13,NGC 1310,50.2642083,-37.1016833,1805.0,10.0,Mathewson+1996
FCC 19,ESO 301-8,50.5946,-37.3975,1407.0,45.0,20096dF...C...00
FCC 21,NGC 1316,50.675,-37.2083,1802.0,3.0,Lagattuta+2017
FCC 22,NGC 1317,50.68333,-37.1038889,1941.0,14.0,1991RC3.9.C...0000d
FCC 26,ESO 357-25,50.9052,-35.7785,1823.0,29.0,1991RC3.9.C...0000d
FCC 28,ESO 301-11,50.9767,-37.51,1405.0,5.0,2001A&A...376...98S
FCC 29,NGC 1326,50.98333,-36.464722,1360.0,1.0,1996ApJ...463...60B
FCC 32,LEDA 12758,51.2185,-35.435444,1318.0,26.0,2001MNRAS.326.1076D
FCC 33,NGC 1316C,51.2458333,-37.009444,1800.0,5.0,1998A&AS..130..333T
FCC 35,LEDA 74402,51.26666,-36.927777,1800.0,1.0,2001A&A...376...98S
FCC 36,LEDA 74404,51.3,-32.902777,2308.0,89.0,20032dF...C...0000C
FCC 37,NGC 1326A,51.2841667,-36.3641667,1831.0,1.0,2001A&A...376...98S
FCC 40,LSBG F358-097,51.35416666,-36.74472222,1602.0,0.0,2019MNRAS.490.1666M
FCC 43,IC 1919,51.50833,-32.89472,1323.0,17.0,2001MNRAS.326.1076D
FCC 46,LEDA 74428,51.604167,-37.127778,2220.0,32.0,2001MNRAS.326.1076D
FCC 47,NGC 1336,51.63333,-35.71361,1418.0,3.0,1998A&AS..133..325G
FCC 53,ESO 358-5,51.81667,-33.48444,1628.0,4.0,2001A&A...376...98S
FCC 55,ESO 358-6,51.825,-34.52638,1279.0,17.0,2001MNRAS.326.1076D
FCC 62,NGC 1341,51.991667,-37.149444,1876.0,3.0,2001A&A...376...98S
FCC 67,NGC 1351A,52.204166,-35.178888,1353.0,2.0,2001A&A...376...98S
FCC 68,LEDA 74521,52.2166,-33.8463,2030.0,0.0,2009AJ....137..498G
FCC 76,ESO 358-10,52.4302,-33.557,1808.0,14.0,2001MNRAS.326.1076D
FCC 81,LEDA 74584,52.5423,-33.6931,1893.0,0.0,2009AJ....137..498G
FCC 82,LEDA 74605,52.6268,-34.2594,1157.0,0.0,2009AJ....137..498G
FCC 83,NGC 1351,52.645625,-34.8539556,1514.0,3.0,2000MNRAS.313..469S
FCC 85,LEDA 74617,52.6925,-35.5501,1509.0,66.0,1994AJ....107.1307H
FCC 88,NGC 1350,52.78333,-33.628611,1905.0,3.0,1996ApJ...463...60B
FCC 90,LEDA 13058,52.7845,-36.2901,1813.0,15.0,2001MNRAS.326.1076D
FCC 91,LEDA 74658,52.82916666,-32.052222,1590.0,12.0,2001A&A...376...98S
FCC 95,LEDA 13084,52.854166,-35.33083,1275.0,26.0,2001MNRAS.326.1076D
FCC 100,FLSBG 024,52.9485,-35.0514,1660.0,31.0,2001MNRAS.326.1076D
FCC 101,LSBG F358-065,52.946,-35.6761,1051.0,0.0,2009AJ....137..498G
FCC 102,LSBG F358-091,53.044,-36.2196,1723.0,61.0,2001MNRAS.326.1076D
FCC 106,LSBG F358-061,53.1987,-34.2387,2123.0,29.0,1991RC3.9.C...0000d
FCC 111,LEDA 74711,53.265,-33.7248,1283.0,0.0,2009AJ....137..498G
FCC 113,ESO 358-15,53.2791666,-34.80722,1388.0,3.0,1996ApJ...463...60B
FCC 115,ESO 358- 16,53.2883,-35.7181,1700.0,4.0,2001A&A...376...98S
FCC 116,LEDA 74714,53.3031,-36.0174,1486.0,45.0,20096dF...C...0000J
FCC 119,LEDA 13177,53.3916666,-33.573055,1374.0,7.0,1998A&AS..133..325G
FCC 120,LEDA 13185,53.39166,-36.60555,887.0,6.0,2001A&A...376...98S
FCC 123,LEDA 13186,53.4305,-35.8594,1540.0,4.0,2001A&A...376...98S
FCC 128,LEDA 74732,53.529166,-36.465833,1479.0,0.0,2019MNRAS.490.1666M
FCC 132,LEDA 74736,53.5762,-35.7946,1883.0,98.0,2001FCSS..C...0000D
FCC 135,ESO 358-19,53.629166,-34.2975,1254.0,29.0,1991RC3.9.C...0000d
FCC 136,LEDA 13230,53.6228,-35.5465,1205.0,1.0,1998A&AS..133..325G
FCC 139,ESO 358-20,53.739,-32.6395,1769.0,5.0,2001A&A...376...98S
FCC 143,NGC 1373,53.7458333,-35.171111,1334.0,2.0,1998A&AS..133..325G
FCC 147,NGC 1374,53.820833,-35.22611,1294.0,2.0,1998A&AS..133..325G
FCC 148,NGC 1375,53.8208333,-35.265277,740.0,6.0,1995A&A...296..319D
FCC 150,LEDA 74752,53.85,-36.36388888888889,2014.0,24.0,1994AJ....107.1307H
FCC 152,ESO 358-25,53.8875,-32.465,1389.0,12.0,2001MNRAS.326.1076D
FCC 153,IC 0335,53.879166,-34.446944,1619.0,6.0,1995A&A...296..319D
FCC 156,LSBG F358-052,53.9282,-35.3383,1405.0,22.0,2007A&A...464L..21B
FCC 160,LSBG F358-050,54.0169,-35.3889,1955.0,8.0,2007A&A...464L..21B
FCC 161,NGC 1379,54.01666,-35.441666,1324.0,2.0,1998A&AS..133..325G
FCC 164,LEDA 74766,54.054166,-36.1663888,1430.0,33.0,2001MNRAS.326.1076D
FCC 167,NGC 1380,54.11666,-34.9763888,1877.0,12.0,1995A&A...296..319D
FCC 170,NGC 1381,54.13333,-35.29555,1724.0,9.0,1995A&A...296..319D
FCC 171,FLSBG 243,54.1553,-35.3859,1395.0,5.0,2007A&A...464L..21B
FCC 174,LEDA 74777,54.1893,-33.014,1645.0,78.0,2001MNRAS.326.1076D
FCC 176,NGC 1369,54.187499,-36.25611,1414.0,17.0,1991RC3.9.C...0000d
FCC 177,NGC 1380A,54.1986,-34.739722,1561.0,6.0,1995A&A...296..319D
FCC 179,NGC 1386,54.191666,-35.99944,868.0,5.0,1996ApJ...472...83S
FCC 181,LEDA 74781,54.2219,-34.9384,1113.0,53.0,2001MNRAS.326.1076D
FCC 182,LEDA 13343,54.225,-35.374722222222225,1693.0,3.0,2007A&A...464L..21B
FCC 184,NGC 1387,54.237499,-35.506388,1302.0,12.0,1989AJ.....97.1576M
FCC 188,LEDA 74785,54.2689,-35.5901,1004.0,80.0,2001MNRAS.326.1076D
FCC 190,NGC 1382,54.2875,-35.195,1740.0,17.0,2001MNRAS.326.1076D
FCC 193,NGC 1389,54.3,-35.74555,921.0,12.0,2001MNRAS.326.1076D
FCC 194,LSBG F358-045,54.325,-35.699166,1279.0,13.0,2007A&A...464L..21B
FCC 195,LEDA 74791,54.3472,-34.9001,1315.0,69.0,2001FCSS..C...0000D
FCC 196,LEDA 74792,54.39166,-35.829166,1797.0,129.0,2001FCSS..C...0000D
FCC 200,LEDA 74802,54.4777,-34.8821,1184.0,110.0,2001FCSS..C...0000D
FCC 201,LSBG F301-016,54.4736,-37.2797,1922.0,126.0,2001MNRAS.326.1076D
FCC 202,NGC 1396,54.5275,-35.44,808.0,22.0,2001MNRAS.326.1076D
FCC 203,ESO 358-42,54.5375,-34.51888,1138.0,28.0,2001FCSS..C...0000D
FCC 204,ESO 358-43,54.556625,-33.127167,1369.0,28.0,2001MNRAS.326.1076D
FCC 205,LEDA 74805,54.531097,-38.092924,1450.0,2.0,2009AJ....137..498G
FCC 206,ESO 358-44,54.5557,-37.2899,1402.0,20.0,2001MNRAS.326.1076D
FCC 207,LEDA 74808,54.5802,-35.1291,1420.0,20.0,2002A&A...383..823M
FCC 208,LSBG F358-043,54.5784,-35.5309,1756.0,9.0,2007A&A...464L..21B
FCC 211,LEDA 74811,54.5895,-35.2597,2276.0,23.0,2001MNRAS.326.1076D
FCC 213,NGC 1399,54.620833,-35.45055,1425.0,4.0,1998A&AS..133..325G
FCC 215,LEDA 74817,54.657,-35.7575,1964.0,20.0,2007A&A...464L..21B
FCC 219,NGC 1404,54.71666,-35.59388,1947.0,4.0,1998A&AS..133..325G
FCC 221,LEDA 74832,54.774,-36.0989,1724.0,77.0,2001FCSS..C...0000D
FCC 222,LEDA 13449,54.8055,-35.3714,800.0,5.0,2007A&A...464L..21B
FCC 223,LEDA 13452,54.8321,-35.7247,781.0,0.0,2009AJ....137..498G
FCC 227,LEDA 74850,54.9588,-35.5228,700.0,50.0,2007A&A...464L..21B
FCC 230,LEDA 74859,55.0053,-34.7581,1025.0,51.0,2005AJ....130.2012W
FCC 235,NGC 1427A,55.0375,-35.62444,2028.0,1.0,1996ApJ...463...60B
FCC 241,LSBG F358-037,55.098,-35.2766,1824.0,7.0,2007A&A...464L..21B
FCC 243,LEDA 74873,55.1126,-36.4989,1346.0,45.0,1994AJ....107.1307H
FCC 244,LSBG F358-036,55.1278,-35.8779,687.0,157.0,2001FCSS..C...0000D
FCC 245,LEDA 74879,55.141,-35.0229,2177.0,32.0,1994AJ....107.1307H
FCC 247,LSBG F358-034,55.1763,-35.661,1097.0,108.0,2001FCSS..C...0000D
FCC 249,NGC 1419,55.175,-37.51083333333333,1571.0,18.0,2001MNRAS.326.1076D
FCC 252,LEDA 74893,55.2101,-35.7484,1415.0,35.0,2001MNRAS.326.1076D
FCC 253,LSBG F302-017,55.2303,-37.8376,1677.0,57.0,2001MNRAS.326.1076D
FCC 254,LSBG F358-033,55.2533,-35.7425,1517.0,94.0,2001FCSS..C...0000D
FCC 255,ESO 358- 50,55.265,-33.7791,1308.0,23.0,1991ApJS...75..935d
FCC 259,LEDA 74905,55.2805,-35.5144,1770.0,17.0,2007A&A...464L..21B
FCC 260,LEDA 13560,55.3036,-35.1587,1493.0,0.0,2009AJ....137..498G
FCC 261,LEDA 74911,55.3383,-33.7694,1492.0,42.0,2001MNRAS.326.1076D
FCC 263,ESO 358-51,55.3856,-34.8888,1724.0,6.0,2001A&A...376...98S
FCC 264,LEDA 74915,55.3823,-35.5896,2033.0,64.0,2001FCSS..C...0000D
FCC 266,LEDA 74917,55.4222,-35.1703,1555.0,3.0,2007A&A...464L..21B
FCC 267,LEDA 74919,55.4392,-33.7915,834.0,10.0,2001MNRAS.326.1076D
FCC 272,LEDA 74930,55.545833,-35.443055,1608.0,15.0,2007A&A...464L..21B
FCC 274,LEDA 74933,55.570833,-35.540833,1073.0,76.0,1999A&AS..134...75H
FCC 276,NGC 1427,55.579166,-35.39277,1388.0,3.0,1998A&AS..133..325G
FCC 277,NGC 1428,55.595833,-35.153611,1640.0,8.0,1998A&AS..133..325G
FCC 278,LEDA 74936,55.6125,-33.870833,2125.0,30.0,2001MNRAS.326.1076D
FCC 282,LEDA 13635,55.6898,-33.9201,1225.0,34.0,1998AJ....116....1D
FCC 285,NGC 1437A,55.75833,-36.27333,886.0,3.0,2001A&A...376...98S
FCC 286,LSBG F358-026,55.803,-34.6432,1673.0,0.0,2009AJ....137..498G
FCC 288,ESO 358-56,55.8444,-33.9388,1189.0,29.0,1991RC3.9.C...0000d
FCC 290,NGC 1436,55.904166,-35.853611,1387.0,8.0,1998A&AS..130..333T
FCC 296,LEDA 74968,56.1368,-35.1959,695.0,32.0,1994AJ....107.1307H
FCC 298,LEDA 74970,56.1851,-35.6837,1719.0,36.0,2001MNRAS.326.1076D
FCC 299,LEDA 74972,56.2442,-36.8949,2151.0,40.0,2001MNRAS.326.1076D
FCC 301,ESO 358-59,56.2649,-35.9727,1021.0,17.0,2008AJ....135.2424O
FCC 302,ESO 358- 60,56.3012,-35.5709,803.0,1.0,1996ApJ...463...60B
FCC 303,LEDA 13758,56.3087,-36.9367,1929.0,3.0,2007A&A...463..119H
FCC 305,FLSBG 305,56.3906667,-37.0832222,1228.0,25.0,2001MNRAS.326.1076D
FCC 306,LEDA 13785,56.4391,-36.3461,886.0,5.0,2001A&A...376...98S
FCC 308,NGC 1437B,56.479166,-36.356944,1497.0,3.0,1996ApJ...463...60B
FCC 310,NGC 1460,56.55833,-36.69666,1373.0,13.0,2001MNRAS.326.1076D
FCC 312,ESO 358-63,56.579166,-34.94361,1929.0,2.0,2001A&A...376...98S
FCC 313,LEDA 74990,56.6391,-34.6862,2202.0,0.0,2019MNRAS.490.1666M
FCC 315,IC 1993,56.770833,-33.70944,1080.0,3.0,2001A&A...376...98S
FCC 316,LSBG F359-072,56.756333,-36.437472,1546.0,105.0,2001MNRAS.326.1076D
FCC 319,ESO 419- 7,56.8178,-32.3022,1445.0,61.0,2001MNRAS.326.1076D
FCC 324,ESO 358-66,56.9694542,-36.4716861,1856.0,29.0,1991RC3.9.C...0000d
FCC 332,LEDA 13930,57.4542,-35.9457,1326.0,29.0,1991RC3.9.C...0000d
FCC 335,ESO 359-2,57.653,-35.9094,1430.0,2.0,1998A&AS..133..325G
FCC 336,LEDA 75013,57.7191667,-35.1719444,1956.0,67.0,2001MNRAS.326.1076D
FCC B1005,ESO 358-22,53.83333,-32.60222,1192.0,29.0,1991ApJS...75..935D
FCC B1019,FLSBG 232,53.870833,-33.334166,2013.0,0.0,2008MNRAS.389..102T
FCC B1088,,54.1385,-33.2762,1246.0,0.0,2008MNRAS.389..102T
FCC B1108,FLSBG 068,54.2072,-33.4609,1734.0,137.0,2001MNRAS.326.1076D
FCC B112,,50.65833,-37.31333,1686.0,0.0,2019MNRAS.490.1666M
FCC B1379,FLSBG 119,54.979166,-33.053333,708.0,17.0,1998MNRAS.296L..15D
FCC B144,PGC 659624,50.79166,-34.633055,1476.0,0.0,2017ApJ...843...16K
FCC B1554,LEDA 176559,55.495833,-35.34888888888889,1612.0,4.0,2007A&A...464L..21B
FCC B1584,PGC 660985,55.570833,-34.53166,1958.0,90.0,2005AJ....130.2012W
FCC B2144,LEDA 694645,57.472333,-32.259083,1155.0,18.0,1998MNRAS.296L..15D
FCC B35,LEDA 616781,49.3770833,-37.8436111,996.0,9.0,2006HIPAS.C...0000:
FCC B470,LEDA 645417,51.89166,-35.71777,723.0,79.0,2001MNRAS.326.1076D
FCC B904,FLSBG 047,53.4841,-34.5618,2254.0,56.0,2001MNRAS.326.1076D
FCC B905,PGC 659931,53.4889,-34.612,1242.0,23.0,2001MNRAS.326.1076D
FCC B934,LEDA 4663120,53.5851,-33.4281,1383.0,0.0,2008MNRAS.389..102T
FCCB 1241,FLSBG 095,54.5694,-35.5077,2115.0,25.0,2002A&A...383..823M
FCCB 446,LEDA 627633,51.788208,-37.152806,1344.0,45.0,20096dF...C...0000J
FCCB 692,LEDA 648552,52.750625,-35.469194,1794.0,45.0,20096dF...C...0000J
FCCB 731,AM 0329-324,52.923875,-32.567556,1002.0,45.0,20096dF...C...0000J
FCCB 951,PGC 647413,53.657042,-35.560028,1440.0,0.0,2017ApJ...843...16K
FCCB 729,ESO 301-18,52.8865458,-38.0612361,1676.0,31.0,2001MNRAS.326.1076D
,ESO 302-10,57.125535,-39.42502,1168.0,4.0,2004AJ....128...16K
,ESO 302-14,57.920417,-38.452222,872.0,3.0,2004AJ....128...16K
,ESO 302-8,56.806368,-38.968466,1106.0,37.0,1998AJ....116....1D
FCC 322,ESO 302-9,56.8906,-38.5771,987.0,3.0,1996ApJ...463...60B
,ESO 356-18,43.802015,-36.300167,1438.0,10.0,1996ApJS..107...97M
FCC 3,ESO 357-12,49.2229167,-35.5413889,1567.0,1.0,1998AJ....115...62H
,ESO 357-7,47.6014583,-33.1561667,1121.0,3.0,1996ApJ...463...60B
,ESO 359-13,59.9245583,-36.7050306,1437.0,26.0,1991RC3.9.C...0000d
,ESO 359-16,61.1055,-36.1805,1406.0,3.0,1996ApJ...463...60B
,ESO 359-17,61.196794,-33.935797,1218.0,0.0,2017ApJ...843...16K
,ESO 359-18,61.268538,-35.008979,1694.0,33.0,1996ApJS..107..201L
,ESO 359-22,62.189933,-35.389505,1430.0,12.0,2006HIPAS.C...0000:
,ESO 359-24,62.73946,-35.831125,849.0,6.0,2006HIPAS.C...0000:
,ESO 359-29,63.210917,-33.002028,878.0,5.0,1994A&AS..107..265G
,ESO 359-31,63.290029,-34.426321,1495.0,6.0,1994A&AS..107..265G
FCC 338,ESO 359-3,58.004166,-33.4675,1574.0,3.0,-
,ESO 360-10,66.8506,-33.5232,1153.0,22.0,1995AJ....109.2003G
,ESO 360-3,64.0414,-33.0618,2518.0,10.0,2005ApJS..160..149S
,ESO 360-7,65.036,-36.6859,1158.0,8.0,2005ApJS..160..149S
,ESO 360-8,65.4372,-33.8457,1265.0,6.0,2005ApJS..160..149S
,ESO 418-8,52.877708,-30.213333,1195.0,1.0,2011ApJS..194...36W
,ESO 418-9,52.981732,-31.337625,972.0,5.0,1991ApJS...75..935
,ESO 419-13,60.173375,-30.831,1490.0,4.0,2003A&A...408..465M
,ESO 420-11,63.222208,-31.308194,1387.0,11.0,2017A&A...599A.104T
,ESO 420-15,64.424629,-31.291529,2761.0,11.0,2005ApJS..160..149S
,ESO 420-6,62.505864,-31.25831,1388.0,6.0,2005ApJS..160..149S
,ESO 420-9,62.752689,-31.407428,1367.0,3.0,1998A&AS..130..333T
,IC 2006,58.6187,-35.9672,1382.0,3.0,2000MNRAS.313..469S
,IC 2040,63.249042,-32.553278,1326.0,8.0,1994A&AS..107..265G
,IC 2041,63.145432,-32.817367,1260.0,29.0,1991RC3.9.C...0000d
,IC 2059,65.109583,-31.724583,2831.0,27.0,2003AJ....126.2268W
,LEDA 132225,58.9435875,-36.2620472,1738.0,45.0,20096dF...C...0000J
,LEDA 142353,43.913877,-36.335182,1680.0,50.0,1996ApJS..107..201L
," LEDA 142358",62.620339,-35.162214,1473.0,44.0,Loveday+1996
,LEDA 170051,55.245185,-38.855266,829.0,10.0,2006HIPAS.C...0000
,LEDA 3314679,62.697451,-32.816959,2608.0,0.0,2017ApJ...843...16K
,LEDA 592896,58.860354,-39.886609,1495.0,70.0,2005AJ....130.2012W
,LEDA 655120,61.17175,-34.965417,2341.0,45.0,20096dF...C...0000J
,LEDA 678875,65.354833,-33.249528,1563.0,45.0,20096dF...C...0000J
,LEDA 684913,62.860333,-32.857528,1088.0,64.0,20012dF...C...0000C
,LEDA 696873,63.307792,-32.100806,1169.0,64.0,20032dF...C...0000C
,LEDA 699440,49.697917,-31.911389,1709.0,89.0,20032dF...C...0000C
,LEDA 705828,47.872417,-31.382222,1559.0,7.0,2006HIPAS.C...0000
,LEDA 706380,47.841696,-31.33488,1565.0,0.0,2017ApJ...843...16K
,LEDA 707430,50.112083,-31.248111,1829.0,64.0,20032dF...C...0000C
,LEDA 707865,49.063583,-31.209472,1114.0,64.0,20012dF...C...0000C
,LEDA 712861,51.567,-30.7965,1529.0,89.0,20032dF...C...0000C
,LSBG F300-001,48.94350740394856,-38.52494586889521,1582.0,55.0,1996ApJS..107..201L
,LSBG F359-060,58.514244,-36.063653,1389.0,5.0,2005ApJS..160..149S
,LSBG F416-012,42.949875,-30.1081,1079.0,64.0,20032dF...C...0000C
,LSBG F418-009,53.41272260079609,-28.957287616684848,1751.0,64.0,20012dF...C...0000C
,LSBG F418-036,51.733684693742504,-30.709812451593557,1379.0,89.0,20032dF...C...0000C
,LSBG F418-045,53.04726442354834,-31.483363685547804,1229.0,89.0,20032dF...C...0000C
,LSBG F418-047,52.66804522829988,-31.933902390464926,1606.0,45.0,20096dF...C...0000J
,LSBG F418-049,52.08000846736938,-31.770004226153354,869.0,89.0,20032dF...C...0000C
,LSBG F418-050,51.86174594382996,-31.8335325025349,1199.0,0.0,2017ApJ...843...16K
,LSBG F418-055,50.86614310882008,-31.268952438713416,1289.0,89.0,20032dF...C...0000C
,NGC 1326B,51.3329167,-36.385,999.0,1.0,2001A&A...376...98S
,NGC 1339,52.02916666666667,-32.28611111111111,1392.0,3.0,1998A&AS..133..325G
,NGC 1340,52.08333,-31.068055,1241.0,15.0,1992CORV..C...0000F
,NGC 1365,53.4,-36.14111,1636.0,1.0,1996ApJ...463...60B
,NGC 1366,53.473667,-31.194111,1231.0,19.0,2008AJ....135.2424O
,NGC 1406,54.8466,-31.3227,1075.0,3.0,1996ApJ...463...60B
,NGC 1484,58.583875,-36.968889,1040.0,3.0,1998A&AS..130..333T
,NGC 1531,62.997167,-32.850806,1190.0,24.0,1991RC3.9.C...0000d
,NGC 1532,63.018042,-32.874222,1040.0,5.0,2006HIPAS.C...0000:
,NGC 1537,63.419625,-31.645417,1429.0,18.0,2008AJ....135.2424O
,NGFS J033625-370731,54.1048,-37.1252,1590.0,0.0,2019MNRAS.490.1666M
,NGFS J033700-352035,54.2492,-35.3432,1964.0,30.0,2007A&A...464L..21B
,PGC 3182664,49.210958,-33.301139,1679.0,64.0,20032dF...C...0000C
,[BAL2007] newdw1,55.325475,-35.4770722,1750.0,15.0,2007A&A...464L..21B
,[BAL2007] newdw2,54.986,-35.622,1770.0,14.0,2007A&A...464L..21B
,[BAL2007] newdw4,53.8987,-35.2906,2373.0,14.0,2007A&A...464L..21B
