FCC,Other ID,RA [deg],DEC [deg],spectra,survey/telescope
FCC 13,NGC 1310,50.2642083,-37.1016833,yes,6dF
FCC 19,ESO 301-8,50.5946,-37.3975,yes,6dF
FCC 29,NGC 1326,50.98333,-36.464722,yes,6dF
FCC 32,LEDA 12758,51.2185,-35.435444,yes,6dF
FCC 33,NGC 1316C,51.2458333,-37.009444,yes,6dF
FCC 36,LEDA 74404,51.3,-32.902777,yes,2dF
FCC 43,IC 1919,51.50833,-32.89472,yes,6dF
FCC 47,NGC 1336,51.63333,-35.71361,yes,6dF
FCC 55,ESO 358-6,51.825,-34.52638,yes,6dF
FCC 62,NGC 1341,51.991667,-37.149444,yes,6dF
FCC 67,NGC 1351A,52.204166,-35.178888,yes,6dF
FCC 83,NGC 1351,52.645625,-34.8539556,yes,6dF
FCC 88,NGC 1350,52.78333,-33.628611,yes,6dF
FCC 90,LEDA 13058,52.7845,-36.2901,yes,6dF
FCC 95,LEDA 13084,52.854166,-35.33083,yes,6dF
FCC 106,LSBG F358-061,53.1987,-34.2387,yes,6dF
FCC 113,ESO 358-15,53.2791666,-34.80722,yes,6dF
FCC 116,LEDA 74714,53.3031,-36.0174,yes,6dF
FCC 119,LEDA 13177,53.3916666,-33.573055,yes,6dF
FCC 143,NGC 1373,53.7458333,-35.171111,yes,6dF
FCC 147,NGC 1374,53.820833,-35.22611,yes,6dF
FCC 148,NGC 1375,53.8208333,-35.265277,yes,6dF
FCC 152,ESO 358-25,53.8875,-32.465,yes,6dF
FCC 153,IC 0335,53.879166,-34.446944,yes,6dF
FCC 161,NGC 1379,54.01666,-35.441666,yes,6dF
FCC 167,NGC 1380,54.11666,-34.9763888,yes,6dF
FCC 170,NGC 1381,54.13333,-35.29555,yes,6dF
FCC 177,NGC 1380A,54.1986,-34.739722,yes,6dF
FCC 179,NGC 1386,54.191666,-35.99944,yes,6dF
FCC 182,LEDA 13343,54.225,-35.374722,yes,6dF
FCC 184,NGC 1387,54.237499,-35.506388,yes,6dF
FCC 193,NGC 1389,54.3,-35.74555,yes,6dF
FCC 204,ESO 358-43,54.556625,-33.127167,yes,6dF
FCC 207,LEDA 74808,54.5802,-35.1291,yes,6dF
FCC 211,LEDA 74811,54.5895,-35.2597,yes,6dF
FCC 219,NGC 1404,54.71666,-35.59388,yes,6dF
FCC 249,NGC 1419,55.175,-37.510833,yes,6dF
FCC 255,ESO 358- 50,55.265,-33.7791,yes,6dF
FCC 263,ESO 358-51,55.3856,-34.8888,yes,6dF
FCC 267,LEDA 74919,55.4392,-33.7915,yes,6dF
FCC 288,ESO 358-56,55.8444,-33.9388,yes,6dF
FCC 290,NGC 1436,55.904166,-35.853611,yes,6dF
FCC 301,ESO 358-59,56.2649,-35.9727,yes,6dF
FCC 308,NGC 1437B,56.479166,-36.356944,yes,6dF
FCC 310,NGC 1460,56.55833,-36.69666,yes,6dF
FCC 312,ESO 358-63,56.579166,-34.94361,yes,6dF
FCC 315,IC 1993,56.770833,-33.70944,yes,6dF
FCC 322,ESO 302-9,56.8906,-38.5771,yes,6dF
FCC 335,ESO 359-2,57.653,-35.9094,yes,6dF
FCC 338,ESO 359-3,58.004166,-33.4675,yes,6dF
FCCB 35,LEDA 616781,49.3770833,-37.8436111,yes,6dF
FCCB 446,LEDA 627633,51.788208,-37.152806,yes,6dF
FCCB 692,LEDA 648552,52.750625,-35.469194,yes,6dF
FCCB 731,AM 0329-324,52.923875,-32.567556,yes,6dF
FCCB 951,PGC 647413,53.657042,-35.560028,yes,6dF
FCCB 1005,ESO 358-22,53.83333,-32.60222,yes,6dF
FCCB 2144,LEDA 694645,57.472333,-32.259083,yes,6dF
,ESO 356-18,43.802015,-36.300167,yes,6dF
,ESO 359-13,59.9245583,-36.7050306,yes,2dF
,ESO 359-16,61.1055,-36.1805,yes,6dF
,ESO 359-29,63.210917,-33.002028,yes,2dF
,ESO 418-8,52.877708,-30.213333,yes,2dF
,ESO 418-9,52.981732,-31.337625,yes,2dF/6dF
,ESO 419-13,60.173375,-30.831,yes,6dF
,ESO 420-9,62.752689,-31.407428,yes,6dF
,ESO 420-11,63.222208,-31.308194,yes,6dF
,IC 2006,58.6187,-35.9672,yes,6dF
,IC 2040,63.249042,-32.553278,yes,2dF
,IC 2041,63.145432,-32.817367,yes,2dF
,IC 2059,65.109583,-31.724583,yes,6dF
,LEDA 132225,58.9435875,-36.2620472,yes,2dF
,LEDA 142353,43.913877,-36.335182,yes,6dF
,LEDA 170051,55.245185,-38.855266,yes,2dF
,LEDA 655120,61.17175,-34.965417,yes,6dF
,LEDA 684913,62.860333,-32.857528,yes,2dF
,LEDA 696873,63.307792,-32.100806,yes,2dF
,LEDA 699440,49.697917,-31.911389,yes,2dF
,LEDA 705828,47.872417,-31.382222,yes,2dF
,LEDA 707430,50.112083,-31.248111,yes,2dF
,LEDA 707865,49.063583,-31.209472,yes,2dF
,LEDA 712861,51.567,-30.7965,yes,2dF
,LSBG F416-012,42.949875,-30.1081,yes,2dF
,LSBG F418-009,53.4127226,-28.957287616,yes,2dF
,LSBG F418-036,51.733684693742504,-30.709812451593557,yes,2dF
,LSBG F418-045,53.04726442354834,-31.483363685547804,yes,2dF
,LSBG F418-047,52.66804522829988,-31.933902390464926,yes,6dF
,LSBG F418-049,52.08000846736938,-31.770004226153354,yes,2dF
,LSBG F418-055,50.86614310882008,-31.268952438713416,yes,2dF
,NGC 1339,52.02916666666667,-32.28611,yes,6dF
,NGC 1340,52.08333,-31.068055,yes,6dF
,NGC 1365,53.4,-36.14111,yes,6dF
,NGC 1366,53.473667,-31.194111,yes,6dF
,NGC 1406,54.8466,-31.3227,yes,6dF
,NGC 1484,58.583875,-36.968889,yes,6dF
,NGC 1537,63.419625,-31.645417,yes,6dF
,PGC 3182664,49.210958,-33.301139,yes,2dF
